Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+01AF,Ư,Latin Capital Letter U with horn,Table_Latin_Extended-B,TRUE,\u01AF,U
U+01B0,ư,Latin Small Letter U with horn,Table_Latin_Extended-B,TRUE,\u01B0,u
U+01B1,Ʊ,Latin Capital Letter Upsilon,Table_Latin_Extended-B,TRUE,\u01B1,U
U+01B2,Ʋ,Latin Capital Letter V with hook,Table_Latin_Extended-B,TRUE,\u01B2,V
U+01B3,Ƴ,Latin Capital Letter Y with hook,Table_Latin_Extended-B,TRUE,\u01B3,Y
U+01B4,ƴ,Latin Small Letter Y with hook,Table_Latin_Extended-B,TRUE,\u01B4,y
U+01B5,Ƶ,Latin Capital Letter Z with stroke,Table_Latin_Extended-B,TRUE,\u01B5,Z
U+01B6,ƶ,Latin Small Letter Z with stroke,Table_Latin_Extended-B,TRUE,\u01B6,z
U+01B7,Ʒ,Latin Capital Letter Ezh,Table_Latin_Extended-B,TRUE,\u01B7,Ezh
U+01B8,Ƹ,Latin Capital Letter Ezh reversed,Table_Latin_Extended-B,TRUE,\u01B8,Ezh
U+01B9,ƹ,Latin Small Letter Ezh reversed,Table_Latin_Extended-B,TRUE,\u01B9,ezh
